Note: Using Docker Hub
[+] Running 2/0
 ✔ Container a433-microservices-item-db-1   Created                                                                                                                                        0.0s 
 ✔ Container a433-microservices-item-app-1  Created                                                                                                                                        0.0s 
Attaching to a433-microservices-item-app-1, a433-microservices-item-db-1
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=9b4d4bb78214
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-11-30T05:20:16.977+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-11-30T05:20:16.978+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3456M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-11-30T05:20:17.341+0000 I STORAGE  [initandlisten] WiredTiger message [1701321617:341488][1:0x7fa9fa3a9a40], txn-recover: Main recovery loop: starting at 1/28160
a433-microservices-item-db-1   | 2023-11-30T05:20:17.479+0000 I STORAGE  [initandlisten] WiredTiger message [1701321617:479802][1:0x7fa9fa3a9a40], txn-recover: Recovering log 1 through 2
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-db-1   | 2023-11-30T05:20:17.555+0000 I STORAGE  [initandlisten] WiredTiger message [1701321617:555044][1:0x7fa9fa3a9a40], txn-recover: Recovering log 2 through 2
a433-microservices-item-db-1   | 2023-11-30T05:20:17.619+0000 I STORAGE  [initandlisten] WiredTiger message [1701321617:619669][1:0x7fa9fa3a9a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-11-30T05:20:17.656+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-30T05:20:17.656+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-11-30T05:20:17.656+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-11-30T05:20:17.656+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-30T05:20:17.659+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-11-30T05:20:17.659+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-11-30T05:20:17.659+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-11-30T05:20:17.659+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-app-1  | NODE_ENV: production
a433-microservices-item-db-1   | 2023-11-30T05:20:17.726+0000 I NETWORK  [listener] connection accepted from 172.19.0.3:33182 #1 (1 connection now open)
a433-microservices-item-db-1   | 2023-11-30T05:20:17.745+0000 I NETWORK  [conn1] received client metadata from 172.19.0.3:33182 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.0-89-generic" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
a433-microservices-item-app-1  | Connected to database
a433-microservices-item-app-1  | GET / 304 117.709 ms - -
a433-microservices-item-app-1  | GET /javascripts/dist/dist.min.js 304 1.649 ms - -
a433-microservices-item-app-1  | GET /stylesheets/style.css 200 18.849 ms - 519
a433-microservices-item-app-1  | GET /api 200 5.138 ms - 107


Note: Using Github Package
[+] Running 2/0
 ✔ Container a433-microservices-item-db-1   Created                                                                                                                                        0.0s 
 ✔ Container a433-microservices-item-app-1  Recreated                                                                                                                                      0.1s 
Attaching to a433-microservices-item-app-1, a433-microservices-item-db-1
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=9b4d4bb78214
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1   | 2023-11-30T05:59:15.018+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1   | 2023-11-30T05:59:15.019+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
a433-microservices-item-db-1   | 2023-11-30T05:59:15.019+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-30T05:59:15.019+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1   | 2023-11-30T05:59:15.019+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
a433-microservices-item-db-1   | 2023-11-30T05:59:15.019+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3456M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1   | 2023-11-30T05:59:15.481+0000 I STORAGE  [initandlisten] WiredTiger message [1701323955:481703][1:0x7efc90feda40], txn-recover: Main recovery loop: starting at 2/5888
a433-microservices-item-db-1   | 2023-11-30T05:59:15.611+0000 I STORAGE  [initandlisten] WiredTiger message [1701323955:611379][1:0x7efc90feda40], txn-recover: Recovering log 2 through 3
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 start /app
a433-microservices-item-app-1  | > node ./bin/www
a433-microservices-item-app-1  | 
a433-microservices-item-db-1   | 2023-11-30T05:59:15.709+0000 I STORAGE  [initandlisten] WiredTiger message [1701323955:709011][1:0x7efc90feda40], txn-recover: Recovering log 3 through 3
a433-microservices-item-db-1   | 2023-11-30T05:59:15.777+0000 I STORAGE  [initandlisten] WiredTiger message [1701323955:777799][1:0x7efc90feda40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1   | 2023-11-30T05:59:15.808+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-30T05:59:15.808+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1   | 2023-11-30T05:59:15.808+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1   | 2023-11-30T05:59:15.808+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1   | 2023-11-30T05:59:15.811+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1   | 2023-11-30T05:59:15.812+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1   | 2023-11-30T05:59:15.812+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1   | 2023-11-30T05:59:15.812+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-app-1  | NODE_ENV: production
